Zeitschienen,SRG SSR Total,SRF Total,SRF 1,SRF zwei,SRF info,RTS 1,RSI LA 1,Restliche SRG SSR,Andere Sender,Facts,Aktivitäten,Zielgruppe,Region,Jahr,Zeitintervall
24:00:00 - 24:15:00,56.139406752,55.261330987,24.600968543,24.254323471,6.406038973,0.178753451,0.30028348,0.399038833,298.73906948,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
24:15:00 - 24:30:00,45.230207384,44.447851229,20.012306628,18.78250368,5.653040922,0.178920435,0.273647537,0.329788183,249.769829873,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
24:30:00 - 24:45:00,37.397341628,36.839449737,16.710992861,15.138423408,4.990033467,0.067761236,0.277658497,0.212472159,210.327774423,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
24:45:00 - 25:00:00,31.112797528,30.650243757,14.122005029,12.128804228,4.3994345,0.071405571,0.239713793,0.151434408,178.725340728,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
25:00:00 - 25:15:00,25.269505849,24.900582888,11.232351855,9.772083473,3.89614756,0.04732431,0.211302686,0.110295964,155.168575641,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
25:15:00 - 25:30:00,21.357491745,21.087994388,9.569974163,8.038876689,3.479143536,0.042594232,0.158142355,0.06876077,134.81327554,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
25:30:00 - 25:45:00,17.665670687,17.462435125,8.137062461,6.090636952,3.234735712,0.024014781,0.139262577,0.039958204,115.600903071,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
25:45:00 - 26:00:00,14.552118683,14.448339545,6.673485274,4.981252855,2.793601416,0.013436316,0.066586046,0.023756776,100.830012058,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
,134.207286526,132.303729113,82.930741008,40.244879882,9.128108223,1.102202913,0.182678076,0.618676425,282.618433091,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,Whole Day
,452.203003994,445.857309769,326.695755851,98.262018665,20.899535253,4.391977862,0.292439422,1.661276943,752.57959732,Rt-T,Overnight+7,Personen 3+,Deutsche Schweiz,2021,Primetime (18-23 h)
02:00:00 - 02:15:00,0.249241675,0.247825992,0.114472929,0.080782959,0.052570105,0.000200369,0.000764618,0.000450695,1.748185645,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
02:15:00 - 02:30:00,0.228383763,0.227199308,0.106505572,0.069896676,0.050797061,0.00023645,0.00072957,0.000218434,1.52739632,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
02:30:00 - 02:45:00,0.206950391,0.206559546,0.098164138,0.058826256,0.049569152,0.000068456,0.000124263,0.000198126,1.377106115,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
02:45:00 - 03:00:00,0.187693188,0.18713529,0.08882582,0.052126865,0.046182605,0.000120812,0.000065025,0.00037206,1.246977548,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
03:00:00 - 03:15:00,0.177272548,0.176405916,0.084182435,0.051003992,0.041219488,0.000076743,0.000034637,0.000755253,1.148570011,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
03:15:00 - 03:30:00,0.163983066,0.163202465,0.079239969,0.046004251,0.037958245,0.000031592,0.000027376,0.000721633,1.049969136,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
03:30:00 - 03:45:00,0.151214407,0.150479814,0.073540645,0.042461776,0.034477393,0.000102056,0.000018878,0.00061366,0.957896205,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
03:45:00 - 04:00:00,0.144896664,0.144371417,0.072271294,0.041044235,0.031055887,0.000154049,0.000008339,0.00036286,0.874094348,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
04:00:00 - 04:15:00,0.136386813,0.135937305,0.066029564,0.038843145,0.031064596,0.000138861,0.00001461,0.000296038,0.828534742,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
04:15:00 - 04:30:00,0.125950465,0.125287975,0.058369893,0.036486181,0.030431901,0.000330099,0.000064901,0.00026749,0.788072318,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
04:30:00 - 04:45:00,0.120107353,0.119361084,0.053781618,0.035900553,0.029678914,0.000410721,0.000023136,0.000312411,0.7591628,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
04:45:00 - 05:00:00,0.116115623,0.115218459,0.054879588,0.033375565,0.026963306,0.000273095,0.000001363,0.000622706,0.745063086,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
05:00:00 - 05:15:00,0.110810613,0.110145792,0.055931573,0.030806712,0.023407508,0.000108036,0.000039339,0.000517446,0.707958718,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
05:15:00 - 05:30:00,0.105890673,0.105285915,0.053937841,0.029198681,0.022149393,0.000115319,0.000018169,0.000471269,0.704595293,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
05:30:00 - 05:45:00,0.113812963,0.113108219,0.057259395,0.03532902,0.020519803,0.000124094,0.000000571,0.000580079,0.862357057,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
05:45:00 - 06:00:00,0.12592316,0.124721552,0.066013439,0.040505714,0.018202399,0.000174905,0.000092476,0.000934228,0.914149067,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
06:00:00 - 06:15:00,0.139385733,0.138031408,0.073612442,0.045384633,0.019034333,0.000250105,0.000087869,0.001016351,0.937296393,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
06:15:00 - 06:30:00,0.156882854,0.155204498,0.081737521,0.054732804,0.018734173,0.000274302,0.000061823,0.001342231,0.946231863,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
06:30:00 - 06:45:00,0.191654513,0.189644715,0.100402516,0.070361888,0.01888031,0.000493059,0.00003089,0.00148585,1.134850847,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
06:45:00 - 07:00:00,0.217556516,0.2146031,0.125865711,0.069969121,0.018768269,0.001388251,0.00001728,0.001547885,1.178959601,Rt-%,Overnight+7,Personen 3+,Deutsche Schweiz,2021,15 min
